,x,y,strategy,t_factor
185,186,456,divDistBased,t1
186,186,381,divDistBased,t1
187,186,381,divDistBased,t1
188,186,381,divDistBased,t1
189,186,384,divDistBased,t1
190,186,120,divDistBased,t1
191,186,381,divDistBased,t1
192,186,381,divDistBased,t1
193,186,718,divDistBased,t1
194,186,381,divDistBased,t1
195,186,381,divDistBased,t1
196,186,120,divDistBased,t1
197,186,150,divDistBased,t1
198,186,120,divDistBased,t1
199,186,381,divDistBased,t1
200,279,381,divDistBased,t1
201,279,384,divDistBased,t1
202,279,387,divDistBased,t1
203,279,456,divDistBased,t1
204,279,384,divDistBased,t1
205,279,718,divDistBased,t1
206,279,381,divDistBased,t1
207,279,381,divDistBased,t1
208,279,381,divDistBased,t1
209,279,456,divDistBased,t1
210,279,384,divDistBased,t1
211,279,718,divDistBased,t1
212,279,712,divDistBased,t1
213,279,1280,divDistBased,t1
214,279,384,divDistBased,t1
215,279,240,divDistBased,t1
216,279,752,divDistBased,t1
217,279,129,divDistBased,t1
218,279,129,divDistBased,t1
219,279,387,divDistBased,t1
220,279,456,divDistBased,t1
221,279,384,divDistBased,t1
222,279,384,divDistBased,t1
223,279,387,divDistBased,t1
224,279,384,divDistBased,t1
225,279,381,divDistBased,t1
226,279,651,divDistBased,t1
227,279,381,divDistBased,t1
228,279,718,divDistBased,t1
229,279,504,divDistBased,t1
230,279,387,divDistBased,t1
231,279,240,divDistBased,t1
232,279,456,divDistBased,t1
233,279,384,divDistBased,t1
234,279,381,divDistBased,t1
235,279,384,divDistBased,t1
236,279,1006,divDistBased,t1
237,279,381,divDistBased,t1
238,279,384,divDistBased,t1
239,279,738,divDistBased,t1
240,279,129,divDistBased,t1
241,279,309,divDistBased,t1
242,279,387,divDistBased,t1
243,279,752,divDistBased,t1
244,279,384,divDistBased,t1
245,279,381,divDistBased,t1
246,279,456,divDistBased,t1
247,279,718,divDistBased,t1
248,279,381,divDistBased,t1
249,279,384,divDistBased,t1
250,279,381,divDistBased,t1
251,279,381,divDistBased,t1
252,279,718,divDistBased,t1
253,279,752,divDistBased,t1
254,279,381,divDistBased,t1
255,279,456,divDistBased,t1
256,279,240,divDistBased,t1
257,279,384,divDistBased,t1
258,279,384,divDistBased,t1
259,279,752,divDistBased,t1
260,279,384,divDistBased,t1
261,279,384,divDistBased,t1
262,279,384,divDistBased,t1
263,279,384,divDistBased,t1
264,279,216,divDistBased,t1
265,279,381,divDistBased,t1
266,279,381,divDistBased,t1
267,279,651,divDistBased,t1
268,279,384,divDistBased,t1
269,279,456,divDistBased,t1
270,279,1006,divDistBased,t1
271,279,456,divDistBased,t1
272,279,384,divDistBased,t1
273,279,387,divDistBased,t1
274,279,381,divDistBased,t1
275,279,456,divDistBased,t1
276,279,1146,divDistBased,t1
277,279,384,divDistBased,t1
278,279,384,divDistBased,t1
279,279,456,divDistBased,t1
280,279,384,divDistBased,t1
281,279,384,divDistBased,t1
282,279,384,divDistBased,t1
283,279,384,divDistBased,t1
284,279,384,divDistBased,t1
285,279,752,divDistBased,t1
286,279,384,divDistBased,t1
287,279,456,divDistBased,t1
288,279,384,divDistBased,t1
289,279,387,divDistBased,t1
290,279,381,divDistBased,t1
291,279,384,divDistBased,t1
292,279,384,divDistBased,t1
293,279,752,divDistBased,t1
294,279,384,divDistBased,t1
295,279,456,divDistBased,t1
296,279,381,divDistBased,t1
297,279,381,divDistBased,t1
298,279,384,divDistBased,t1
299,279,718,divDistBased,t1
300,372,384,divDistBased,t1
301,372,387,divDistBased,t1
302,372,651,divDistBased,t1
303,372,752,divDistBased,t1
304,372,651,divDistBased,t1
305,372,734,divDistBased,t1
306,372,471,divDistBased,t1
307,372,384,divDistBased,t1
308,372,642,divDistBased,t1
309,372,651,divDistBased,t1
310,372,387,divDistBased,t1
311,372,752,divDistBased,t1
312,372,734,divDistBased,t1
313,372,1306,divDistBased,t1
314,372,528,divDistBased,t1
315,372,381,divDistBased,t1
316,372,1192,divDistBased,t1
317,372,381,divDistBased,t1
318,372,384,divDistBased,t1
319,372,456,divDistBased,t1
320,372,752,divDistBased,t1
321,372,456,divDistBased,t1
322,372,387,divDistBased,t1
323,372,651,divDistBased,t1
324,372,752,divDistBased,t1
325,372,384,divDistBased,t1
326,372,660,divDistBased,t1
327,372,456,divDistBased,t1
328,372,744,divDistBased,t1
329,372,752,divDistBased,t1
330,372,456,divDistBased,t1
331,372,381,divDistBased,t1
332,372,752,divDistBased,t1
333,372,642,divDistBased,t1
334,372,384,divDistBased,t1
335,372,456,divDistBased,t1
336,372,1246,divDistBased,t1
337,372,456,divDistBased,t1
338,372,456,divDistBased,t1
339,372,752,divDistBased,t1
340,372,240,divDistBased,t1
341,372,381,divDistBased,t1
342,372,390,divDistBased,t1
343,372,1002,divDistBased,t1
344,372,387,divDistBased,t1
345,372,384,divDistBased,t1
346,372,734,divDistBased,t1
347,372,752,divDistBased,t1
348,372,384,divDistBased,t1
349,372,642,divDistBased,t1
350,372,384,divDistBased,t1
351,372,384,divDistBased,t1
352,372,748,divDistBased,t1
353,372,1180,divDistBased,t1
