Configuration;MeasuredValue;PredictedValue
compression%_%compressionLrzip%_%level%_%level1%_%root%_%;208900;92768.8889
compression%_%compressionLrzip%_%level%_%level2%_%root%_%;210450;92768.8889
compression%_%compressionLrzip%_%level%_%level3%_%root%_%;283750;92768.8889
compression%_%compressionLrzip%_%level%_%level4%_%root%_%;339780;92768.8889
compression%_%compressionLrzip%_%level%_%level5%_%root%_%;340590;92768.8889
compression%_%compressionLrzip%_%level%_%level6%_%root%_%;384660;92768.8889
compression%_%compressionLrzip%_%level%_%level7%_%root%_%;1062250;92768.8889
compression%_%compressionLrzip%_%level%_%level8%_%root%_%;1179830;92768.8889
compression%_%compressionLrzip%_%level%_%level9%_%root%_%;827290;92768.8889
compression%_%compressionBzip2%_%level%_%level1%_%root%_%;208350;208180
compression%_%compressionBzip2%_%level%_%level2%_%root%_%;213220;208180
compression%_%compressionBzip2%_%level%_%level3%_%root%_%;223040;208180
compression%_%compressionBzip2%_%level%_%level4%_%root%_%;234870;208180
compression%_%compressionBzip2%_%level%_%level5%_%root%_%;236720;208180
compression%_%compressionBzip2%_%level%_%level6%_%root%_%;248940;208180
compression%_%compressionBzip2%_%level%_%level7%_%root%_%;257480;208180
compression%_%compressionBzip2%_%level%_%level8%_%root%_%;263430;208180
compression%_%compressionBzip2%_%level%_%level9%_%root%_%;265980;208180
compression%_%compressionGzip%_%level%_%level1%_%root%_%;76470;68403.8889
compression%_%compressionGzip%_%level%_%level2%_%root%_%;80360;68403.8889
compression%_%compressionGzip%_%level%_%level3%_%root%_%;87690;68403.8889
compression%_%compressionGzip%_%level%_%level4%_%root%_%;93090;68403.8889
compression%_%compressionGzip%_%level%_%level5%_%root%_%;106090;68403.8889
compression%_%compressionGzip%_%level%_%level6%_%root%_%;128450;68403.8889
compression%_%compressionGzip%_%level%_%level7%_%root%_%;146410;68403.8889
compression%_%compressionGzip%_%level%_%level8%_%root%_%;187970;68403.8889
compression%_%compressionGzip%_%level%_%level9%_%root%_%;198360;68403.8889
compression%_%compressionLzo%_%level%_%level1%_%root%_%;50520;51389.4444
compression%_%compressionLzo%_%level%_%level2%_%root%_%;50610;51389.4444
compression%_%compressionLzo%_%level%_%level3%_%root%_%;45490;51389.4444
compression%_%compressionLzo%_%level%_%level4%_%root%_%;48050;51389.4444
compression%_%compressionLzo%_%level%_%level5%_%root%_%;49850;51389.4444
compression%_%compressionLzo%_%level%_%level6%_%root%_%;50420;51389.4444
compression%_%compressionLzo%_%level%_%level7%_%root%_%;53060;51389.4444
compression%_%compressionLzo%_%level%_%level8%_%root%_%;53480;51389.4444
compression%_%compressionLzo%_%level%_%level9%_%root%_%;51500;51389.4444
compression%_%compressionZpaq%_%level%_%level1%_%root%_%;673290;639677.7778
compression%_%compressionZpaq%_%level%_%level2%_%root%_%;679680;639677.7778
compression%_%compressionZpaq%_%level%_%level3%_%root%_%;674140;639677.7778
compression%_%compressionZpaq%_%level%_%level4%_%root%_%;2267650;639677.7778
compression%_%compressionZpaq%_%level%_%level5%_%root%_%;2265330;639677.7778
compression%_%compressionZpaq%_%level%_%level6%_%root%_%;2265250;639677.7778
compression%_%compressionZpaq%_%level%_%level7%_%root%_%;2275110;639677.7778
compression%_%compressionZpaq%_%level%_%level8%_%root%_%;5765920;639677.7778
compression%_%compressionZpaq%_%level%_%level9%_%root%_%;5759100;639677.7778
level%_%level1%_%root%_%;41150;41652.7778
level%_%level2%_%root%_%;41790;41652.7778
level%_%level3%_%root%_%;42300;41652.7778
level%_%level4%_%root%_%;43680;41652.7778
level%_%level5%_%root%_%;43560;41652.7778
level%_%level6%_%root%_%;45720;41652.7778
level%_%level7%_%root%_%;44370;41652.7778
level%_%level8%_%root%_%;46950;41652.7778
level%_%level9%_%root%_%;45770;41652.7778
compression%_%compressionLrzip%_%encryption%_%level%_%level1%_%root%_%;220490;99652.2222
compression%_%compressionLrzip%_%encryption%_%level%_%level2%_%root%_%;222350;99652.2222
compression%_%compressionLrzip%_%encryption%_%level%_%level3%_%root%_%;295950;99652.2222
compression%_%compressionLrzip%_%encryption%_%level%_%level4%_%root%_%;350260;99652.2222
compression%_%compressionLrzip%_%encryption%_%level%_%level5%_%root%_%;347130;99652.2222
compression%_%compressionLrzip%_%encryption%_%level%_%level6%_%root%_%;395130;99652.2222
compression%_%compressionLrzip%_%encryption%_%level%_%level7%_%root%_%;1070520;99652.2222
compression%_%compressionLrzip%_%encryption%_%level%_%level8%_%root%_%;1185460;99652.2222
compression%_%compressionLrzip%_%encryption%_%level%_%level9%_%root%_%;833620;99652.2222
compression%_%compressionBzip2%_%encryption%_%level%_%level1%_%root%_%;213900;213378.537
