Configuration;MeasuredValue;PredictedValue
compression%_%compressionLzo%_%encryption%_%level%_%level3%_%root%_%;61770;63372.7556
compression%_%compressionLzo%_%encryption%_%level%_%level4%_%root%_%;60460;63372.7556
compression%_%compressionLzo%_%encryption%_%level%_%level5%_%root%_%;61210;63372.7556
compression%_%compressionLzo%_%encryption%_%level%_%level6%_%root%_%;61790;63372.7556
compression%_%compressionLzo%_%encryption%_%level%_%level7%_%root%_%;64550;63372.7556
compression%_%compressionLzo%_%encryption%_%level%_%level8%_%root%_%;63620;63372.7556
compression%_%compressionLzo%_%encryption%_%level%_%level9%_%root%_%;64620;63372.7556
compression%_%compressionZpaq%_%encryption%_%level%_%level1%_%root%_%;681080;105651.7222
compression%_%compressionZpaq%_%encryption%_%level%_%level2%_%root%_%;684690;64380.4222
compression%_%compressionZpaq%_%encryption%_%level%_%level3%_%root%_%;681250;74673.0889
compression%_%compressionZpaq%_%encryption%_%level%_%level4%_%root%_%;2288260;74673.0889
compression%_%compressionZpaq%_%encryption%_%level%_%level5%_%root%_%;2282110;74673.0889
compression%_%compressionZpaq%_%encryption%_%level%_%level6%_%root%_%;2273900;74673.0889
compression%_%compressionZpaq%_%encryption%_%level%_%level7%_%root%_%;2282560;74673.0889
compression%_%compressionZpaq%_%encryption%_%level%_%level8%_%root%_%;5802460;74673.0889
compression%_%compressionZpaq%_%encryption%_%level%_%level9%_%root%_%;5810950;74673.0889
encryption%_%level%_%level1%_%root%_%;49760;94889.7222
encryption%_%level%_%level2%_%root%_%;53200;53612.4222
encryption%_%level%_%level3%_%root%_%;56980;63911.0889
encryption%_%level%_%level4%_%root%_%;54820;63911.0889
encryption%_%level%_%level5%_%root%_%;53500;63911.0889
encryption%_%level%_%level6%_%root%_%;56570;63911.0889
encryption%_%level%_%level7%_%root%_%;61280;63911.0889
encryption%_%level%_%level8%_%root%_%;56430;63911.0889
encryption%_%level%_%level9%_%root%_%;59650;63911.0889
compression%_%compressionLrzip%_%level%_%level1%_%root%_%unlimitedWindowSize%_%;212880;210252.6667
compression%_%compressionLrzip%_%level%_%level2%_%root%_%unlimitedWindowSize%_%;210810;210252.6667
compression%_%compressionLrzip%_%level%_%level3%_%root%_%unlimitedWindowSize%_%;284060;210252.6667
compression%_%compressionLrzip%_%level%_%level4%_%root%_%unlimitedWindowSize%_%;339360;210252.6667
compression%_%compressionLrzip%_%level%_%level5%_%root%_%unlimitedWindowSize%_%;340300;210252.6667
compression%_%compressionLrzip%_%level%_%level6%_%root%_%unlimitedWindowSize%_%;383910;210252.6667
compression%_%compressionLrzip%_%level%_%level7%_%root%_%unlimitedWindowSize%_%;1061640;210252.6667
compression%_%compressionLrzip%_%level%_%level8%_%root%_%unlimitedWindowSize%_%;1178930;210252.6667
compression%_%compressionLrzip%_%level%_%level9%_%root%_%unlimitedWindowSize%_%;828640;210252.6667
compression%_%compressionBzip2%_%level%_%level1%_%root%_%unlimitedWindowSize%_%;208080;154668.6667
compression%_%compressionBzip2%_%level%_%level2%_%root%_%unlimitedWindowSize%_%;212850;111860.8889
compression%_%compressionBzip2%_%level%_%level3%_%root%_%unlimitedWindowSize%_%;223100;122735.5556
compression%_%compressionBzip2%_%level%_%level4%_%root%_%unlimitedWindowSize%_%;232720;122735.5556
compression%_%compressionBzip2%_%level%_%level5%_%root%_%unlimitedWindowSize%_%;240110;122735.5556
compression%_%compressionBzip2%_%level%_%level6%_%root%_%unlimitedWindowSize%_%;249760;122735.5556
compression%_%compressionBzip2%_%level%_%level7%_%root%_%unlimitedWindowSize%_%;258170;122735.5556
compression%_%compressionBzip2%_%level%_%level8%_%root%_%unlimitedWindowSize%_%;263330;122735.5556
compression%_%compressionBzip2%_%level%_%level9%_%root%_%unlimitedWindowSize%_%;266710;122735.5556
compression%_%compressionGzip%_%level%_%level1%_%root%_%unlimitedWindowSize%_%;77610;101640
compression%_%compressionGzip%_%level%_%level2%_%root%_%unlimitedWindowSize%_%;81720;58913.5556
compression%_%compressionGzip%_%level%_%level3%_%root%_%unlimitedWindowSize%_%;91570;69788.2222
compression%_%compressionGzip%_%level%_%level4%_%root%_%unlimitedWindowSize%_%;92590;69788.2222
compression%_%compressionGzip%_%level%_%level5%_%root%_%unlimitedWindowSize%_%;109300;69788.2222
compression%_%compressionGzip%_%level%_%level6%_%root%_%unlimitedWindowSize%_%;127760;69788.2222
compression%_%compressionGzip%_%level%_%level7%_%root%_%unlimitedWindowSize%_%;145950;69788.2222
compression%_%compressionGzip%_%level%_%level8%_%root%_%unlimitedWindowSize%_%;187730;69788.2222
compression%_%compressionGzip%_%level%_%level9%_%root%_%unlimitedWindowSize%_%;198100;69788.2222
compression%_%compressionLzo%_%level%_%level1%_%root%_%unlimitedWindowSize%_%;50740;92219.3333
compression%_%compressionLzo%_%level%_%level2%_%root%_%unlimitedWindowSize%_%;51040;50476.6667
compression%_%compressionLzo%_%level%_%level3%_%root%_%unlimitedWindowSize%_%;47370;60872.6667
compression%_%compressionLzo%_%level%_%level4%_%root%_%unlimitedWindowSize%_%;47570;60872.6667
compression%_%compressionLzo%_%level%_%level5%_%root%_%unlimitedWindowSize%_%;48640;60872.6667
compression%_%compressionLzo%_%level%_%level6%_%root%_%unlimitedWindowSize%_%;50250;60872.6667
compression%_%compressionLzo%_%level%_%level7%_%root%_%unlimitedWindowSize%_%;52700;60872.6667
compression%_%compressionLzo%_%level%_%level8%_%root%_%unlimitedWindowSize%_%;52920;60872.6667
compression%_%compressionLzo%_%level%_%level9%_%root%_%unlimitedWindowSize%_%;52010;60872.6667
compression%_%compressionZpaq%_%level%_%level1%_%root%_%unlimitedWindowSize%_%;672520;101640
compression%_%compressionZpaq%_%level%_%level2%_%root%_%unlimitedWindowSize%_%;671740;58913.5556
compression%_%compressionZpaq%_%level%_%level3%_%root%_%unlimitedWindowSize%_%;675720;69788.2222
compression%_%compressionZpaq%_%level%_%level4%_%root%_%unlimitedWindowSize%_%;2271260;69788.2222
compression%_%compressionZpaq%_%level%_%level5%_%root%_%unlimitedWindowSize%_%;2263060;69788.2222
compression%_%compressionZpaq%_%level%_%level6%_%root%_%unlimitedWindowSize%_%;2271620;69788.2222
compression%_%compressionZpaq%_%level%_%level7%_%root%_%unlimitedWindowSize%_%;2279890;69788.2222
