Configuration;MeasuredValue;PredictedValue
compression%_%compressionLrzip%_%level%_%level1%_%root%_%;208900;52329.8889
compression%_%compressionLrzip%_%level%_%level2%_%root%_%;210450;52659.8889
compression%_%compressionLrzip%_%level%_%level3%_%root%_%;283750;52659.8889
compression%_%compressionLrzip%_%level%_%level4%_%root%_%;339780;52659.8889
compression%_%compressionLrzip%_%level%_%level5%_%root%_%;340590;52659.8889
compression%_%compressionLrzip%_%level%_%level6%_%root%_%;384660;52659.8889
compression%_%compressionLrzip%_%level%_%level7%_%root%_%;1062250;52659.8889
compression%_%compressionLrzip%_%level%_%level8%_%root%_%;1179830;52659.8889
compression%_%compressionLrzip%_%level%_%level9%_%root%_%;827290;52659.8889
compression%_%compressionBzip2%_%level%_%level1%_%root%_%;208350;213860
compression%_%compressionBzip2%_%level%_%level2%_%root%_%;213220;222808
compression%_%compressionBzip2%_%level%_%level3%_%root%_%;223040;218312
compression%_%compressionBzip2%_%level%_%level4%_%root%_%;234870;218312
compression%_%compressionBzip2%_%level%_%level5%_%root%_%;236720;218312
compression%_%compressionBzip2%_%level%_%level6%_%root%_%;248940;218312
compression%_%compressionBzip2%_%level%_%level7%_%root%_%;257480;218312
compression%_%compressionBzip2%_%level%_%level8%_%root%_%;263430;218312
compression%_%compressionBzip2%_%level%_%level9%_%root%_%;265980;218312
compression%_%compressionGzip%_%level%_%level1%_%root%_%;76470;77059.3333
compression%_%compressionGzip%_%level%_%level2%_%root%_%;80360;81072.4889
compression%_%compressionGzip%_%level%_%level3%_%root%_%;87690;78938
compression%_%compressionGzip%_%level%_%level4%_%root%_%;93090;78938
compression%_%compressionGzip%_%level%_%level5%_%root%_%;106090;78938
compression%_%compressionGzip%_%level%_%level6%_%root%_%;128450;78938
compression%_%compressionGzip%_%level%_%level7%_%root%_%;146410;78938
compression%_%compressionGzip%_%level%_%level8%_%root%_%;187970;78938
compression%_%compressionGzip%_%level%_%level9%_%root%_%;198360;78938
compression%_%compressionLzo%_%level%_%level1%_%root%_%;50520;57972.1111
compression%_%compressionLzo%_%level%_%level2%_%root%_%;50610;58302.1111
compression%_%compressionLzo%_%level%_%level3%_%root%_%;45490;58302.1111
compression%_%compressionLzo%_%level%_%level4%_%root%_%;48050;58302.1111
compression%_%compressionLzo%_%level%_%level5%_%root%_%;49850;58302.1111
compression%_%compressionLzo%_%level%_%level6%_%root%_%;50420;58302.1111
compression%_%compressionLzo%_%level%_%level7%_%root%_%;53060;58302.1111
compression%_%compressionLzo%_%level%_%level8%_%root%_%;53480;58302.1111
compression%_%compressionLzo%_%level%_%level9%_%root%_%;51500;58302.1111
compression%_%compressionZpaq%_%level%_%level1%_%root%_%;673290;52329.8889
compression%_%compressionZpaq%_%level%_%level2%_%root%_%;679680;52659.8889
compression%_%compressionZpaq%_%level%_%level3%_%root%_%;674140;52659.8889
compression%_%compressionZpaq%_%level%_%level4%_%root%_%;2267650;52659.8889
compression%_%compressionZpaq%_%level%_%level5%_%root%_%;2265330;52659.8889
compression%_%compressionZpaq%_%level%_%level6%_%root%_%;2265250;52659.8889
compression%_%compressionZpaq%_%level%_%level7%_%root%_%;2275110;52659.8889
compression%_%compressionZpaq%_%level%_%level8%_%root%_%;5765920;52659.8889
compression%_%compressionZpaq%_%level%_%level9%_%root%_%;5759100;52659.8889
level%_%level1%_%root%_%;41150;46589.5556
level%_%level2%_%root%_%;41790;46589.5556
level%_%level3%_%root%_%;42300;46589.5556
level%_%level4%_%root%_%;43680;46589.5556
level%_%level5%_%root%_%;43560;46589.5556
level%_%level6%_%root%_%;45720;46589.5556
level%_%level7%_%root%_%;44370;46589.5556
level%_%level8%_%root%_%;46950;46589.5556
level%_%level9%_%root%_%;45770;46589.5556
compression%_%compressionLrzip%_%encryption%_%level%_%level1%_%root%_%;220490;57523.2222
compression%_%compressionLrzip%_%encryption%_%level%_%level2%_%root%_%;222350;57523.2222
compression%_%compressionLrzip%_%encryption%_%level%_%level3%_%root%_%;295950;57523.2222
compression%_%compressionLrzip%_%encryption%_%level%_%level4%_%root%_%;350260;57523.2222
